Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Chakra Stone (product.metafields.custom.chakra_stone),Discount Code (product.metafields.custom.discount_code),Discount Percent (product.metafields.custom.discount_percent),Frequently Bought Together (product.metafields.custom.fbt_products),Featured Reviews (product.metafields.custom.featured_reviews),Feedback Count (product.metafields.custom.feedback_count),Rating (product.metafields.custom.rating),Short Introduction (product.metafields.custom.short_introduction),Tarot sign (product.metafields.custom.tarot_sign),Zodiac sign (product.metafields.custom.zzodiac_sign),Age group (product.metafields.shopify.age-group),Authenticity (product.metafields.shopify.authenticity),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Crystal system (product.metafields.shopify.crystal-system),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Mineral class (product.metafields.shopify.mineral-class),Necklace design (product.metafields.shopify.necklace-design),Rarity (product.metafields.shopify.rarity),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pixiu-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/Gemini_Generated_Image_jlxy9zjlxy9zjlxy_d00c35eb-8096-40eb-ad76-94f75f3facf8.png?v=1765438480,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_yellow_3_01cfefad-5f9c-440d-9f16-1c30c5de8638.jpg?v=1765438478,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_yellow_4_cf41e45a-5940-4e34-955c-e2a10ff64457.jpg?v=1765438478,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_yellow_2_dbf1aa2a-d3c1-4358-8515-e55419ebb190.jpg?v=1765438478,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_yellow_1_4e277a80-b54b-46b9-957a-71115c34f1a0.jpg?v=1765438478,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-white,Lucky Pixiu Stone - White,"<p dir=""auto""><img src=""https://cdn.shopify.com/s/files/1/0949/8843/5762/files/T_H_u_mau_m_nh.png?v=1763010055"" alt=""""></p>
<p dir=""auto"">🔮 <strong>LUCKY PIXIU NECKLACE – THE CHARM THAT BRINGS LUCK AND POSITIVE ENERGY</strong></p>
<p dir=""auto"">📐 <strong>PRODUCT INFORMATION:</strong></p>
<p dir=""auto"">📌 <strong>One Lucky Pixiu Pendant:</strong></p>
<ul dir=""auto"">
<li>Material: <strong>100% Natural Agate Crystal</strong>
</li>
<li>Size: <strong>1.49 x 0.85 x 0.42 inches</strong>
</li>
<li>Weight: <strong>13.6 g</strong>
</li>
</ul>
<p dir=""auto"">📌 <strong>Premium silver clasp</strong> – Shiny, non-tarnishing, and durable</p>
<p dir=""auto"">📌 <strong>Imported leather cord</strong> – Strong and easy to match with any outfit</p>
<p dir=""auto"">📌 <strong>Premium velvet-lined leather box</strong> – Elegant and sophisticated</p>
<p dir=""auto"">🔔 <strong>NOTE:</strong> The LUCKY PIXIU NECKLACE is <strong>exclusively designed for men</strong>. Choose the right color based on your <strong>feng shui element</strong> for the best effect. Feel free to message our shop for more info!</p>
<p dir=""auto"">#LuckyPixiuNecklace #LuckyStone #LuckyNecklace #Pixiu #PixiuFengShui</p>",My Store,Apparel & Accessories > Jewelry > Necklaces,"","",true,Title,Default Title,,,,,,,,,300.0,shopify,1000,continue,manual,99.00,199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0977/7027/5097/files/product-christmas-white-pixiu_cd3a97b9-bb20-4c82-bbf4-e76a036dbda0.png?v=1765438477,1,Product Christmas - White Pixiu,false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,69.00,active
pixiu-stone-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/Gemini_Generated_Image_jlxy9zjlxy9zjlxy_00106d49-d6c0-4004-a049-6c727cf6ecfd.png?v=1765438479,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_white_1_495faa04-424e-40f5-87e4-a54b339b5bbd.jpg?v=1765438478,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_white_d2c584cd-c8ea-4949-bf8f-1214679ebee4.jpg?v=1765438477,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-red,Lucky Pixiu Stone - Red,"<p dir=""auto""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0949/8843/5762/files/T_H_u_mau_m_nh.png?v=1763010055""></p>
<p dir=""auto"">🔮 <strong>LUCKY PIXIU NECKLACE – THE CHARM THAT BRINGS LUCK AND POSITIVE ENERGY</strong></p>
<p dir=""auto"">📐 <strong>PRODUCT INFORMATION:</strong></p>
<p dir=""auto"">📌 <strong>One Lucky Pixiu Pendant:</strong></p>
<ul dir=""auto"">
<li>Material: <strong>100% Natural Agate Crystal</strong>
</li>
<li>Size: <strong>1.49 x 0.85 x 0.42 inches</strong>
</li>
<li>Weight: <strong>13.6 g</strong>
</li>
</ul>
<p dir=""auto"">📌 <strong>Premium silver clasp</strong> – Shiny, non-tarnishing, and durable</p>
<p dir=""auto"">📌 <strong>Imported leather cord</strong> – Strong and easy to match with any outfit</p>
<p dir=""auto"">📌 <strong>Premium velvet-lined leather box</strong> – Elegant and sophisticated</p>
<p dir=""auto"">🔔 <strong>NOTE:</strong> The LUCKY PIXIU NECKLACE is <strong>exclusively designed for men</strong>. Choose the right color based on your <strong>feng shui element</strong> for the best effect. Feel free to message our shop for more info!</p>
<p dir=""auto"">#LuckyPixiuNecklace #LuckyStone #LuckyNecklace #Pixiu #PixiuFengShui</p>",My Store,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils > Gemstones,"","",true,Title,Default Title,,,,,,,,,300.0,shopify,1000,continue,manual,99.00,199.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/product-christmas-red-pixiu_989b1ee4-0822-457f-a24d-6374621ed4e4.png?v=1765438477,1,Product Christmas - Red Pixiu,false,,,,,,,,,,,,,,genuine,,,mint-m,trigonal,,,silicates,,,,,g,,69.00,active
pixiu-stone-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/Gemini_Generated_Image_jlxy9zjlxy9zjlxy_5cebab1d-d5a1-4cc2-a8fd-974ec0d4913c.png?v=1765438478,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_red_3_6943dade-9f6a-4cec-8d1c-a8cb4c6d5afc.jpg?v=1765438476,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_red_4_b37063ff-71c6-47bc-8810-b75199f375a6.jpg?v=1765438477,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_red_2_d749ac74-3851-4f41-b303-60ad0a7a85e2.jpg?v=1765438477,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_red_1_a21ac005-9e14-4533-88df-ee91ede1f9c0.jpg?v=1765438477,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-green,Lucky Pixiu Stone - Green,"<p dir=""auto""><img src=""https://cdn.shopify.com/s/files/1/0949/8843/5762/files/T_H_u_mau_m_nh.png?v=1763010055"" alt=""""></p>
<p dir=""auto"">🔮 <strong>LUCKY PIXIU NECKLACE – THE CHARM THAT BRINGS LUCK AND POSITIVE ENERGY</strong></p>
<p dir=""auto"">📐 <strong>PRODUCT INFORMATION:</strong></p>
<p dir=""auto"">📌 <strong>One Lucky Pixiu Pendant:</strong></p>
<ul dir=""auto"">
<li>Material: <strong>100% Natural Agate Crystal</strong>
</li>
<li>Size: <strong>1.49 x 0.85 x 0.42 inches</strong>
</li>
<li>Weight: <strong>13.6 g</strong>
</li>
</ul>
<p dir=""auto"">📌 <strong>Premium silver clasp</strong> – Shiny, non-tarnishing, and durable</p>
<p dir=""auto"">📌 <strong>Imported leather cord</strong> – Strong and easy to match with any outfit</p>
<p dir=""auto"">📌 <strong>Premium velvet-lined leather box</strong> – Elegant and sophisticated</p>
<p dir=""auto"">🔔 <strong>NOTE:</strong> The LUCKY PIXIU NECKLACE is <strong>exclusively designed for men</strong>. Choose the right color based on your <strong>feng shui element</strong> for the best effect. Feel free to message our shop for more info!</p>
<p dir=""auto"">#LuckyPixiuNecklace #LuckyStone #LuckyNecklace #Pixiu #PixiuFengShui</p>",My Store,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils > Gemstones,"","",true,Title,Default Title,,,,,,,,,300.0,shopify,993,continue,manual,99.00,199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0977/7027/5097/files/product-christmas-green-pixiu.png?v=1765438475,1,Product Christmas - Green Pixiu,false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,69.00,active
pixiu-stone-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/Gemini_Generated_Image_jlxy9zjlxy9zjlxy_14a20049-6862-463e-9853-a2439eb79093.png?v=1765438477,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/T_H_u_xanh_3.jpg?v=1765438477,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_green_4.jpg?v=1765438475,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_green_1.jpg?v=1765438475,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_green_2.jpg?v=1765438475,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixiu-stone-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_pixiu_green_3.jpg?v=1765438475,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-queen-stone-yellow,Lucky Fox Queen Stone - Yellow,"<p dir=""auto""><img src=""https://cdn.shopify.com/s/files/1/0949/8843/5762/files/H_Ly_mau_m_nh.png?v=1763010131"" alt="""">🔮 <strong>LUCKY FOX QUEEN NECKLACE – THE CHARM THAT BRINGS LUCK AND POSITIVE ENERGY</strong></p>
<p dir=""auto"">📐 <strong>PRODUCT INFORMATION:</strong></p>
<p dir=""auto"">📌 <strong>One Lucky Fox Queen Pendant:</strong></p>
<ul dir=""auto"">
<li>Material: 100% Natural Agate Crystal</li>
<li>Size: 1.21 x 0.80 x 0.27 inches</li>
<li>Weight: 12 g</li>
</ul>
<p dir=""auto"">📌 <strong>Premium silver clasp</strong> – Shiny, non-tarnishing, and durable</p>
<p dir=""auto"">📌 <strong>Imported titanium cord</strong> – Strong and easy to match with any outfit</p>
<p dir=""auto"">📌 <strong>Premium velvet-lined leather box</strong> – Elegant and sophisticated</p>
<p dir=""auto"">🔔 <strong>NOTE:</strong> The LUCKY FOX QUEEN NECKLACE is <strong>exclusively designed for women</strong>. Choose the right color based on your <strong>feng shui element</strong> for the best effect. Feel free to message our shop for more info!</p>
<p dir=""auto"">#LuckyFoxQueenNecklace #LuckyStone #LuckyNecklace #FoxQueen #FoxQueenFengShui</p>",My Store,Apparel & Accessories > Jewelry > Necklaces,"","",true,Title,Default Title,,,,,,,,,300.0,shopify,973,continue,manual,99.00,199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0977/7027/5097/files/product-christmas-yellow-fox.png?v=1765438474,1,Product Christmas - Yellow Fox,false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,69.00,active
fox-queen-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/Gemini_Generated_Image_jlxy9zjlxy9zjlxy_3386f478-509b-4041-a9aa-6aee0c5ec554.png?v=1765438476,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-queen-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/DSC00414_e2790710-f46b-4a6f-a041-7f1719e0deb8.jpg?v=1765438474,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-queen-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_fox_yellow_3_2afc3454-a584-4c95-9c77-735dc9083fd7.jpg?v=1765438475,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-queen-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_fox_yellow_1_a7a84080-2be8-4aba-9f22-126b3d5b94ea.jpg?v=1765438474,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-queen-stone-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0977/7027/5097/files/lucky_fox_yellow_2_1a13c2d0-0834-41c6-8f26-1fbbb41ca884.jpg?v=1765438474,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fox-queen-stone-white,Lucky Fox Queen Stone - White,"<p dir=""auto""><img src=""https://cdn.shopify.com/s/files/1/0949/8843/5762/files/H_Ly_mau_m_nh.png?v=1763010131"" alt="""">🔮 <strong>LUCKY FOX QUEEN NECKLACE – THE CHARM THAT BRINGS LUCK AND POSITIVE ENERGY</strong></p>
<p dir=""auto"">📐 <strong>PRODUCT INFORMATION:</strong></p>
<p dir=""auto"">📌 <strong>One Lucky Fox Queen Pendant:</strong></p>
<ul dir=""auto"">
<li>Material: 100% Natural Agate Crystal</li>
<li>Size: 1.21 x 0.80 x 0.27 inches</li>
<li>Weight: 12 g</li>
</ul>
<p dir=""auto"">📌 <strong>Premium silver clasp</strong> – Shiny, non-tarnishing, and durable</p>
<p dir=""auto"">📌 <strong>Imported titanium cord</strong> – Strong and easy to match with any outfit</p>
<p dir=""auto"">📌 <strong>Premium velvet-lined leather box</strong> – Elegant and sophisticated</p>
<p dir=""auto"">🔔 <strong>NOTE:</strong> The LUCKY FOX QUEEN NECKLACE is <strong>exclusively designed for women</strong>. Choose the right color based on your <strong>feng shui element</strong> for the best effect. Feel free to message our shop for more info!</p>
<p dir=""auto"">#LuckyFoxQueenNecklace #LuckyStone #LuckyNecklace #FoxQueen #FoxQueenFengShui</p>",My Store,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Rocks & Fossils > Gemstones,"","",true,Title,Default Title,,,,,,,,,300.0,shopify,992,continue,manual,99.00,199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0977/7027/5097/files/product-christmas-white-fox_3575c329-61f9-4baf-9bd9-aff9ea35928b.png?v=1765438473,1,Product Christmas - White Fox,false,,,,,,,,,,,,,,,,,,,,,,,,,,g,,69.00,active
